,種目,組,選手,記録,着順,風・備考,時間,分,秒,秒以下,区分
0,4/7(Tue)4/14(Tue),個別オリエンテーション,W641,-,,,,,,,
1,4/10(Sun),全体オリエンテーション,70周年講堂(ウッドデッキ脇),-,,,,,,,
2,4/20(Wed),新入生歓迎会,"等々力,渋谷",-,,,,,,,
3,5/8(Sun),農工戦,新座,優勝,,,,,,,
4,5/19(Thu)5/20(Fri)5/21(Sat)5/22(Sun),第95回関東インカレ,日産スタジアム,-,,,,,,,
5,5/29(Sun),第64回東京地区国公立対校戦,町田,総合3位,,,,,,,
6,6/12(Sun),第13回13大学対校戦,上柚木,総合2位,,,,,,,
7,8/12(Fri),三工大戦,大阪・枚方市立陸上競技場,3連覇,,,,,,,
8,8/26(Fri)〜8/30(Tue),夏合宿,菅平,-,,,,,,,
9,9/2(Fri)9/3(Sat)9/4(Sun),第85回日本インカレ,埼玉(熊谷スポーツ文化公園陸上競技場),-,,,,,,,
10,9/10(Sat)9/11(Sun),第48回関東理工系対校戦,鴻巣,総合3位,,,,,,,
11,9/16(Fri)9/17(Sat)9/18(Sun),第27回関東新人,相模原ギオンスタジアム,-,,,,,,,
12,9/19(Mon)9/20(Tue)9/21(Wed),第31回国公立26大学対校戦,神奈川(Shonan BMW スタジアム平塚),総合6位,,,,,,,
13,10/15(Sat),第93回箱根駅伝予選会,昭和記念公園,-,,,,,,,
14,10/22(Sat),OB・OG親善競技会,海老名運動公園,-,,,,,,,
15,10/30(Sun),第58回学内駅伝大会,大岡山キャンパス,-,,,,,,,
16,12/4(Sun),第78回奥多摩渓谷駅伝競走大会,奥多摩,-,,,,,,,
17,12/18(Sun),第17回荒川河川敷対校駅伝,荒川河川敷,5連覇,,,,,,,
18,1/14(Sat),第14回国公立26大学対校駅伝,熊谷,4連覇,,,,,,,
19,3/7(Tue)-3/10(Fri),春合宿,掛川,-,,,,,,,
20,100m,天野　皓平,"10""8",1着,+2.4,,,,,,
21,100m,岩井　梨輝,"10""9",2着,+2.4,,,,,,
22,200m,天野　皓平,"22""3",1着,-2.4,,,,,,
23,200m,西嶋　健人,"22""5",3着,-2.4/PB/歴代14位タイ,,,,,,
24,400m,高橋　知也,"50""2",2着,-,,,,,,
25,400m,中嶋　一貴,"51""3",3着,PB/歴代27位タイ,,,,,,
26,800m,箱�ｱ　喜郎,"1'59""9",1着,-,,,,,,
27,800m,井上　暁人,"2'00""3",2着,-,,,,,,
28,1500m,塩田　匠,"4'02""9",1着,-,,,,,,
29,1500m,箱�ｱ　喜郎,"4'03""6",3着,PB/歴代16位,,,,,,
30,5000m,塩田　匠,"15'14""3",1着,-,,,,,,
31,5000m,新美　惣一朗,"15'36""9",2着,-,,,,,,
32,110mH,永島　唯哉,"14""7",1着,+2.2,,,,,,
33,400mH,永島　唯哉,"56""2",1着,PB/歴代5位,,,,,,
34,4×100mR,天野　皓平西嶋　健人永井　生永島　唯哉,"41""5",1着,工大新記録,,,,,,
35,4×400mR,高橋　知也中嶋　一貴中村　勇太芝江　柾葵,"3'26""9",1着,-,,,,,,
36,100m,米川　晴義,"11""2",1組2着,+1.6,,,,,,OP
37,100m,中村　彩人,"11""6",2組2着,+2.3,,,,,,OP
38,100m,下山　達大,"11""8",2組4着,+2.3,,,,,,OP
39,100m,白井　陸大,"12""1",2組5着,+2.3,,,,,,OP
40,200m,永井　生,"23""4",1着,-4.2,,,,,,OP
41,200m,米川　晴義,"23""7",2着,-4.2,,,,,,OP
42,200m,野村　勝洋,"24""6",3着,-4.2,,,,,,OP
43,200m,木原　葉子,"27""1",6着,-4.2/工大新記録,,,,,,OP
44,400m,中村　勇太,"51""9",1着,PB/歴代35位タイ,,,,,,OP
45,400m,細川　和穂,"53""3",2着,-,,,,,,OP
46,800m,小林　裕平,"1'59""3",1着,PB/歴代21位,,,,,,OP
47,800m,松井　将器,"1'59""8",2着,-,,,,,,OP
48,800m,笠木　浩平,"2'03""2",3着,-,,,,,,OP
49,800m,佐々木　亮一,"2'04""9",4着,PB,,,,,,OP
50,1500m,小林　雅彦,"4'19""4",1着,-,,,,,,OP
51,1500m,芝江　柾葵,"4'20""2",2着,-,,,,,,OP
52,1500m,笠原　慧,"4'23""0",5着,-,,,,,,OP
53,1500m,吉田　啓一郎,"4'27""4",6着,-,,,,,,OP
54,1500m,佐々木　亮一,"4'37""6",9着,-,,,,,,OP
55,1500m,阿川　陽,"4'41""2",12着,-,,,,,,OP
56,1500m,辻　航平,"4'43""0",13着,-,,,,,,OP
57,1500m,久司　駿三,"4'48""7",14着,-,,,,,,OP
58,1500m,上田　菜々子,"5'13""9",16着,-,,,,,,OP
59,1500m,五日市　実侑,"5'34""2",17着,-,,,,,,OP
60,1500m,丸太　彩佳,"5'41""3",18着,-,,,,,,OP
61,1500m,小林　裕平,"6'01""3",19着,-,,,,,,OP
62,1500m,片瀬　悠喜,"6'01""7",20着,-,,,,,,OP
63,1500m,笠木　浩平,DNF,-,-,,,,,,OP
64,1500m,柴田　幸樹,DNF,-,-,,,,,,OP
